_id,OBJECTID,FLOC_ID,Building Description,Address,City,Ward Name,Former Municipality,District,City Cluster,Building Type,Building Status,Jurisdiction,Management,Owner,Gross Floor Area (M2),Gross Floor Area (FT2),Year Built,WARD,geometry
1155,1155,001908-B02,STAN WADLOW CLUBHOUSE,373 CEDARVALE AVE,TORONTO,Beaches-East York,East York,South,Citizen-Focused Services Group A,Community Recreation Centre,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,927,9978,,19,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.315086382394, 43.6981714455056]]}"
1156,1156,001924-B03,STAN WADLOW PARK - FIELDHOUSE & WASHROOM AT HALDON AVE,373 CEDARVALE AVE,TORONTO,Beaches-East York,East York,South,Citizen-Focused Services Group A,Park Fieldhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,60,646,,19,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.315086382394, 43.6981714455056]]}"
1157,1157,001908-B04,STAN WADLOW PARK - OUTDOOR POOL SERVICE BLDG (SOUTH),375 CEDARVALE AVE,TORONTO,Beaches-East York,East York,South,Citizen-Focused Services Group A,Outdoor Pool Service Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,308,3315,,19,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3160894578903, 43.6984980821117]]}"
1158,1158,001908-B05,STAN WADLOW PARK - OUTDOOR POOL SERVICE BLDG (NORTH),375 CEDARVALE AVE,TORONTO,Beaches-East York,East York,South,Citizen-Focused Services Group A,Outdoor Pool Service Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,91,980,,19,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3160894578903, 43.6984980821117]]}"
1159,1159,000616-B01,WARD'S ISLAND - FIRE HALL #335 & EMS STN #59 & WASHROOM,235 CIBOLA AVE,TORONTO,Spadina-Fort York,Toronto (Old),South,Citizen-Focused Services Group B,Fire & EMS Joint Station,City Use,Fire Services,Fire Services,City of Toronto,409,4400,1995,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3590745052274, 43.6254007460108]]}"
1160,1160,005940-B01,FORMER ETOBICOKE HYDRO BUILDING,2 CIVIC CENTRE CRT,ETOBICOKE,Etobicoke Centre,Etobicoke,West,Internal Services Group,Office Building - Large,City Use,Facilities Management & Real Estate Services,Facilities Management & Real Estate Services,City of Toronto,4420,47580,1965,2,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5639237687154, 43.6429499513121]]}"
1161,1161,005316-B01,WARDEN WATER TANK & VALVE HOUSE,5 CIVIC RD,TORONTO,Scarborough Southwest,Metro Toronto,East,Citizen-Focused Services Group B,Water Tank,City Use,Toronto Water,Toronto Water,City of Toronto,24,258,,20,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2867433947761, 43.7266822702555]]}"
1162,1162,000593-B01,FIRE HALL NO. 331,33 CLAREMONT ST,TORONTO,Spadina-Fort York,Toronto (Old),South,Citizen-Focused Services Group B,Fire Hall/Facility,City Use,Fire Services,Fire Services,City of Toronto,1020,10975,1968,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4097737524017, 43.6473361193742]]}"
1163,1163,000516-B24,HIGH PARK - ICE RINK COMPRESSOR BLDG (#4),1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Outdoor Rink Service Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,74,797,1951,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1164,1164,000516-B05,HIGH PARK - REFRESHMENT BOOTH NO. 2 (#8),1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Concession Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,64,689,1957,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1165,1165,000516-B29,HIGH PARK - ANIMAL PADDOCKS,1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Animal/Livestock Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,424,4560,,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1166,1166,000516-B18,HIGH PARK - PICNIC SHELTER AT DEER PEN RD S/S (#31),1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Picnic Shelter/Gazebo,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,186,2000,1957,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1167,1167,003688-B06,SCARBOROUGH HISTORICAL MUSEUM - KENNEDY GALLERY,1007 BRIMLEY RD,TORONTO,Scarborough Centre,Scarborough,East,Citizen-Focused Services Group A,Museum/Heritage,City Use,Economic Development & Culture,Economic Development & Culture,City of Toronto,30,320,,21,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2548099735304, 43.7576244730467]]}"
1168,1168,003688-B04,SCARBOROUGH HISTORICAL MUSEUM - CORNELL HOUSE,1007 BRIMLEY RD,TORONTO,Scarborough Centre,Scarborough,East,Citizen-Focused Services Group A,Museum/Heritage,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,162,1740,1960,21,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2548099735304, 43.7576244730467]]}"
1169,1169,003688-B05,SCARBOROUGH HISTORICAL MUSEUM - MCCOWAN LOG HOUSE,1007 BRIMLEY RD,TORONTO,Scarborough Centre,Scarborough,East,Citizen-Focused Services Group A,Museum/Heritage,City Use,Economic Development & Culture,Economic Development & Culture,City of Toronto,74,800,,21,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2548099735304, 43.7576244730467]]}"
1170,1170,003974-B02,SINGLE FAMILY DWELLING - GARAGE,1904 BRIMLEY RD,SCARBOROUGH,Scarborough North,Scarborough,East,Internal Services Group,Residential Garage,City Use,Facilities Management & Real Estate Services,Facilities Management & Real Estate Services,City of Toronto,28,298,1949,23,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2657108128353, 43.7808450540951]]}"
1171,1171,001900-B01,AFFORDABLE RENTAL HOUSING - 59 UNIT MODULAR BUILDING,540 CEDARVALE AVE,EAST YORK,Beaches-East York,None,South,Citizen-Focused Services Group A,Multi-Unit Residence,City Use,Housing Secretariat,Not-For-Profit Organization,City of Toronto,3075,33102,2022,19,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3167233833971, 43.6983823176415]]}"
1172,1172,004793-B19,CENTENNIAL PARK - STORAGE BY SNOW CENTRE,575 CENTENNIAL PARK BLVD,ETOBICOKE,Etobicoke Centre,None,West,Citizen-Focused Services Group A,Park Storage Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,158,1700,2005,2,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5949763881774, 43.6539194310122]]}"
1173,1173,004793-B20,CENTENNIAL MINI INDY - BAR & RESTAURANT BLDG,575 CENTENNIAL PARK BLVD,ETOBICOKE,Etobicoke Centre,None,West,Citizen-Focused Services Group A,Retail Services Building,City Use,"Parks, Forestry & Recreation",Commercial Firm,City of Toronto,314,3380,1996,2,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5949763881774, 43.6539194310122]]}"
1174,1174,004793-B14,CENTENNIAL PARK - PICNIC SITE 7 - SHELTER #4,575 CENTENNIAL PARK BLVD,ETOBICOKE,Etobicoke Centre,None,West,Citizen-Focused Services Group A,Picnic Shelter/Gazebo,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,74,797,1978,2,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5949763881774, 43.6539194310122]]}"
1175,1175,003685-B01,BIRCHMOUNT COMMUNITY CENTRE & INDOOR POOL,93 BIRCHMOUNT RD,SCARBOROUGH,Scarborough Southwest,Scarborough,East,Citizen-Focused Services Group A,Community Recreation Centre,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,6470,69643,1958,20,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.262331657077, 43.6954194699918]]}"
1176,1176,003676-B02,FIRE MUSEUM - STORAGE BUILDING,351 BIRCHMOUNT RD,SCARBOROUGH,Scarborough Southwest,None,East,Citizen-Focused Services Group B,Yard Garage,City Use,Fire Services,Fire Services,City of Toronto,90,969,1925,20,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2648070061304, 43.6998781187406]]}"
1177,1177,003676-B01,FIRE MUSEUM - FIRE PREVENTION OFFICE,351 BIRCHMOUNT RD,SCARBOROUGH,Scarborough Southwest,Scarborough,East,Citizen-Focused Services Group B,Office Building - Small,City Use,Fire Services,Fire Services,City of Toronto,320,3444,1925,20,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2648070061304, 43.6998781187406]]}"
1178,1178,005885-B01,ALBERT CAMPBELL PUBLIC LIBRARY,496 BIRCHMOUNT RD,TORONTO,Scarborough Southwest,Scarborough,East,"Agencies, Boards, and Commissions",Library,City Use,Toronto Public Library Board,Toronto Public Library Board,Toronto Public Library Board,2425,26100,1970,20,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2693481816375, 43.7080561987211]]}"
1179,1179,000516-B14,HIGH PARK - GREENHOUSES & OFFICE (#20),1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Greenhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,5490,59094,1956,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1180,1180,000516-B07,HIGH PARK - FIELDHOUSE & OUTDOOR POOL SERVICE BLDG (#5),1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Park Fieldhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,975,10495,1963,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1181,1181,000516-B53,HIGH PARK - LIFE GUARD HOUSE NEAR SWIMMING POOL,1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Park Fieldhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,45,480,,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1182,1182,000516-B31,HIGH PARK - PICNIC SHELTER AT HIGH PARK BLVD (#38),1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Picnic Shelter/Gazebo,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,186,2000,1959,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1183,1183,003974-B01,SINGLE FAMILY DWELLING,1904 BRIMLEY RD,SCARBOROUGH,Scarborough North,Scarborough,East,Internal Services Group,Residential House,City Use,Facilities Management & Real Estate Services,Facilities Management & Real Estate Services,City of Toronto,100,1073,1949,23,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2657108128353, 43.7808450540951]]}"
1184,1184,003898-B01,FIRE HALL NO. 242,2733 BRIMLEY RD,SCARBOROUGH,Scarborough North,Scarborough,East,Citizen-Focused Services Group B,Fire Hall/Facility,City Use,Fire Services,Fire Services,City of Toronto,511,5498,1975,23,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2772562802889, 43.8069196445835]]}"
1185,1185,006153-B06,BLUFFERS PARK - WASHROOM,1 BRIMLEY RD S,TORONTO,Scarborough Southwest,Scarborough,East,Citizen-Focused Services Group A,Public Lavatory,City Use,Toronto & Region Conservation Authority,"Parks, Forestry & Recreation",City of Toronto,149,1604,,20,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2349735828495, 43.7062056087387]]}"
1186,1186,006153-B05,BLUFFERS PARK - STORAGE BLDG,1W BRIMLEY RD S,SCARBOROUGH,Scarborough Southwest,Scarborough,East,Citizen-Focused Services Group A,Park Storage Building,City Use,Toronto & Region Conservation Authority,"Parks, Forestry & Recreation",City of Toronto,56,603,1974,20,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2349735828495, 43.7062056087387]]}"
1187,1187,004793-B22,CENTENNIAL PARK - WOODEN FIELDHOUSE BY MINI INDY,575 CENTENNIAL PARK BLVD,ETOBICOKE,Etobicoke Centre,None,West,Citizen-Focused Services Group A,Park Fieldhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,42,450,2009,2,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5949763881774, 43.6539194310122]]}"
1188,1188,004793-B10,CENTENNIAL PARK PAN AM BMX CENTRE,575 CENTENNIAL PARK BLVD,ETOBICOKE,Etobicoke Centre,None,West,Citizen-Focused Services Group A,Stadium,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,350,3767,2015,2,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5949763881774, 43.6539194310122]]}"
1189,1189,004793-B21,CENTENNIAL MINI INDY - GO KART & GARAGE BLDG,575 CENTENNIAL PARK BLVD,ETOBICOKE,Etobicoke Centre,None,West,Citizen-Focused Services Group A,Sports Clubhouse,City Use,"Parks, Forestry & Recreation",Commercial Firm,City of Toronto,574,6180,1996,2,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5949763881774, 43.6539194310122]]}"
1190,1190,004793-B12,CENTENNIAL PARK - PICNIC SITE 5 - SHELTER #2,575 CENTENNIAL PARK BLVD,ETOBICOKE,Etobicoke Centre,None,West,Citizen-Focused Services Group A,Picnic Shelter/Gazebo,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,85,915,2005,2,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5949763881774, 43.6539194310122]]}"
1191,1191,003339-B01,FIRE HALL NO. 245,1600 BIRCHMOUNT RD,SCARBOROUGH,Scarborough Centre,Scarborough,East,Citizen-Focused Services Group B,Fire Hall/Facility,City Use,Fire Services,Fire Services,City of Toronto,567,6103,1960,21,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2915184052647, 43.7626918218058]]}"
1192,1192,003630-B01,FIRE HALL NO. 244,2340 BIRCHMOUNT RD,SCARBOROUGH,Scarborough-Agincourt,Scarborough,East,Citizen-Focused Services Group B,Fire Hall/Facility,City Use,Fire Services,Fire Services,City of Toronto,473,5096,1971,22,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2991153286616, 43.7816824952725]]}"
1193,1193,006155-B01,TAM O'SHANTER GOLF COURSE - CLUBHOUSE,2481 BIRCHMOUNT RD,TORONTO,Scarborough-Agincourt,Scarborough,East,Citizen-Focused Services Group A,Sports Clubhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,386,4150,1976,22,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2994695029292, 43.7863244689842]]}"
1194,1194,003631-B02,STEPHEN LEACOCK INDOOR ARENA,2500 BIRCHMOUNT RD,TORONTO,Scarborough-Agincourt,Scarborough,East,Citizen-Focused Services Group A,Arena,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,4060,43701,1971,22,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3023537127537, 43.7865283463144]]}"
1195,1195,000516-B48,HIGH PARK - JAMIE BELL PLAYGROUND FIELDHOUSE (#36),1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Park Fieldhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,17,180,1959,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1196,1196,000516-B40,HIGH PARK - SPOTTED DEER HOUSE (#51),1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Animal/Livestock Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,56,600,1964,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1197,1197,000516-B41,HIGH PARK - WEST RD PLAYGROUND FIELDHOUSE (#44),1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Park Fieldhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,17,180,1961,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1198,1198,000516-B23,HIGH PARK - DEER PEN BLDG (#24),1873 BLOOR ST W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Animal/Livestock Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,36,384,1958,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4640866825386, 43.6535695616334]]}"
1199,1199,006153-B03,BLUFFERS PARK - DUNKER'S STORM PUMPING STATION (UNDERGROUND),2 BRIMLEY RD S,SCARBOROUGH,Scarborough Southwest,Metro Toronto,East,Citizen-Focused Services Group B,Pumping Station - Underground,City Use,Toronto Water,Toronto Water,City of Toronto,7,78,,20,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2389597825056, 43.7048635649809]]}"
1200,1200,006153-B08,BLUFFERS PARK - POLICE MARINE SUBSTATION NO. 1,7N BRIMLEY RD S,SCARBOROUGH,Scarborough Southwest,Scarborough,East,Internal Services Group,Police Station/Facility,City Use,Toronto Police Service,Facilities Management & Real Estate Services,City of Toronto,170,1830,1975,20,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2318624965319, 43.706276430077]]}"
1201,1201,006153-B07,BLUFFERS PARK SEWAGE PUMPING STATION (UNDERGROUND),14 BRIMLEY RD S,SCARBOROUGH,Scarborough Southwest,Metro Toronto,East,Citizen-Focused Services Group B,Pumping Station - Underground,City Use,Toronto Water,Toronto Water,City of Toronto,7,78,,20,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2361615157884, 43.7072722707328]]}"
1202,1202,006153-B04,BLUFFERS PARK - BEACH HOUSE & WASHROOM,14E BRIMLEY RD S,SCARBOROUGH,Scarborough Southwest,Scarborough,East,Citizen-Focused Services Group A,Park Fieldhouse,City Use,Toronto & Region Conservation Authority,"Parks, Forestry & Recreation",City of Toronto,186,2002,,20,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2349735828495, 43.7062056087387]]}"
1203,1203,004793-B13,CENTENNIAL PARK - PICNIC SITE 6 - SHELTER #3,575 CENTENNIAL PARK BLVD,ETOBICOKE,Etobicoke Centre,None,West,Citizen-Focused Services Group A,Picnic Shelter/Gazebo,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,91,980,2005,2,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5949763881774, 43.6539194310122]]}"
1204,1204,004793-B06,CENTENNIAL PARK - STORAGE BY STADIUM,56 CENTENNIAL PARK RD,ETOBICOKE,Etobicoke Centre,None,West,Citizen-Focused Services Group A,Park Storage Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,75,810,1975,2,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5859044966233, 43.6561212192545]]}"
1205,1205,004793-B05,CENTENNIAL PARK - BUILDING LEASED TO HYDRO,56 CENTENNIAL PARK RD,TORONTO,Etobicoke Centre,Toronto (Amal),West,Citizen-Focused Services Group A,Yard Service Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,212,2283,1972,2,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5859044966233, 43.6561212192545]]}"
1206,1206,004793-B03,ROB FORD STADIUM,56 CENTENNIAL PARK RD,TORONTO,Etobicoke Centre,Etobicoke,West,Citizen-Focused Services Group A,Stadium,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,1649,17750,1975,2,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5859044966233, 43.6561212192545]]}"
1207,1207,003631-B01,STEPHEN LEACOCK SENIORS' COMMUNITY CENTRE,2520 BIRCHMOUNT RD,TORONTO,Scarborough-Agincourt,Scarborough,East,Citizen-Focused Services Group A,Community Recreation Centre,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,762,8200,1981,22,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3024698863046, 43.7868632096674]]}"
1208,1208,005314-B01,EMS STATION NO. 24,3061 BIRCHMOUNT RD,SCARBOROUGH,Scarborough-Agincourt,Metro Toronto,East,Citizen-Focused Services Group A,EMS Station/Facility,City Use,Toronto Paramedic Services,Toronto Paramedic Services,City of Toronto,303,3262,1987,22,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.308157746162, 43.8027973748008]]}"
